Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2019-12-27,294.2931823730469,295.1500129574212,293.7645132848047,295.0953240109606,42528800
2019-12-30,292.6706848144531,294.5119721081925,292.18758056574677,294.37524973919426,49729100
2019-12-31,293.381591796875,293.6277198137139,291.82290156546304,292.1692833540794,57077300
2020-01-02,296.1253356933594,296.14358388648566,293.9923834001532,294.9130269972677,59151200
2020-01-03,293.8829650878906,295.0041439336054,292.688876931802,292.74356586892327,77709700
2020-01-06,295.00408935546875,295.0861227459739,292.0142796533682,292.13278160099514,55653900
2020-01-07,294.17462158203125,294.9129499592201,293.72795822762987,294.4389421396399,40496400
2020-01-08,295.7424621582031,296.95477064555246,294.11995883928836,294.3660590478099,68296000
2020-01-09,297.74774169921875,297.82067881308217,296.71772055042567,297.3011061918994,48473300
2020-01-10,296.8909912109375,298.48615024274386,296.4261352089056,298.33120751452185,53029300
2020-01-13,298.9327697753906,298.94186605271307,297.082386683004,297.510801872737,47086800
2020-01-14,298.4769287109375,299.54339043837496,297.9208876167295,298.4951490779747,62832800
2020-01-15,299.1514892578125,299.9080379561586,298.3037830757557,298.3858164658878,72056600
2020-01-16,301.63995361328125,301.63995361328125,300.30001924233943,300.5278990481638,54050300
2020-01-17,302.5788879394531,302.7885196066415,301.57621099627295,302.3510080804288,95846000
2020-01-21,301.98626708984375,302.788408349648,301.5487557243908,301.62166501284787,77742400
2020-01-22,302.02276611328125,303.4903264792452,301.8678234281699,302.8431278236257,48914900
2020-01-23,302.36920166015625,302.77939649699647,300.2635941747511,301.3756489009387,51963000
2020-01-24,299.68017578125,303.1074970853696,298.3949302922052,303.02546369041266,87578400
2020-01-27,294.87652587890625,296.35318285602233,294.1108529210448,294.44811064824233,84062500
2020-01-28,297.9665832519531,298.84163406721996,294.9676767051918,296.298487210109,63834000
2020-01-29,297.7204895019531,299.55265256689614,297.5199541027187,299.3247726958283,53888900
2020-01-30,298.6866760253906,298.89633550564963,294.9130001022843,295.66042488337473,75491800
2020-01-31,293.26312255859375,298.22178991387807,292.3516032332454,298.0668193889295,113845600
2020-02-03,295.44158935546875,297.30109625380913,294.6212276647578,294.73972960780577,69083000
2020-02-04,299.944580078125,300.8105346597248,298.7231473854342,299.0421847479902,62573200
2020-02-05,303.4083557128906,303.6180152040548,301.4121536768775,302.8705625667215,65951100
2020-02-06,304.4292907714844,304.62070207645655,303.35367662683126,304.3654777307045,50359700
2020-02-07,302.8067626953125,304.4383624299263,302.2598454793981,303.37190028539015,64139400
